(( 2 20 44 NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL 03 30 NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL 22 NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL ))

(( 02 NIL 04 NIL 06 NIL 08 NIL 10 NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL 03 NIL 05 NIL 07 NIL 09 NIL 11 )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL ))

(( 01 12 03 23 NIL 88 NIL NIL NIL NIL )
( 21 45 43 NIL NIL NIL NIL NIL NIL NIL )
( NIL 56 NIL 78 NIL NIL NIL NIL NIL NIL )
( 89 NIL 99 54 NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL ))

(( 98 97 96 95 94 93 92 91 90 89 )
( 01 02 03 04 05 55 06 07 08 09 )
( NIL 66 NIL NIL NIL NIL NIL NIL NIL 11 )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL 22 NIL NIL NIL NIL NIL 33 NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL 88 NIL NIL NIL 44 NIL NIL )
( NIL NIL NIL NIL NIL NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL 77 NIL NIL NIL NIL NIL )
( NIL NIL NIL NIL NIL NIL 99 NIL NIL NIL ))

(( NIL 05 NIL NIL NIL 15 NIL NIL NIL 25 )
( NIL NIL NIL 06 NIL NIL NIL 16 NIL NIL )
( NIL 04 NIL NIL NIL 14 NIL NIL NIL 24 )
( NIL NIL NIL 07 NIL NIL NIL 17 NIL NIL )
( NIL 03 NIL NIL NIL 13 NIL NIL NIL 23 )
( NIL NIL NIL 08 NIL NIL NIL 18 NIL NIL )
( NIL 02 NIL NIL NIL 12 NIL NIL NIL 22 )
( NIL NIL NIL 09 NIL NIL NIL 19 NIL NIL )
( NIL 01 NIL NIL NIL 11 NIL NIL NIL 21 )
